category	text																				
Transphobic	அர்த்தநாரீஸ்வரர் ஆணுமானவர் பெண்ணுமானவர். இது ஒருபக்கம். +Ve	 திருநங்கை  ஆணும் இல்லாதவர்கள் பெண்ணும் இல்லாதவர்கள். 	 இது மறுபக்கம். - ve	 இது சாரம் மட்டுமே.	 முழுதும் புரிய 10 பக்கம் எழுதணும்.																
Non-anti-LGBT+ content	section377 | ஓரினச்சேர்க்கை நல்லதா கெட்டதா மக்கள் கருத்து | Homosexuality people's opinion																				
Transphobic	இருக்கிற நாலு பேர் சேர்ந்து அந்த பொறம்போக்கு சாத்து சாத்து சாத்தி இருக்கணும் பொதுமக்கள் அமைதியா போவதால தான் அந்த பொறம்போக்குங்க இப்படி அநாகரிகமா அராஜகமா நடக்குதுங்க . இவங்களுக்கு சப்போர்ட் பண்ற மனித உரிமை ஆர்வலர்கள் திரைப்படத்தில் இவர்களை நல்லவர்களாக சித்தரிக்கும் கயவர்கள் இனியாவது திருந்துவார்களா?																				
Non-anti-LGBT+ content	Shanth sha  உடலுறவு இனப்பெருக்கத்திற்கு மட்டும் என்று சொல்றீங்க! ஆனா அதே நீங்கள் மகப்பேறு மருத்துவமனைகளில் கருத்தடை சாதனங்கள் பெண்கள் ஏற்றுக்கொள்வதை தடுப்பதில்லையே ஏன்? உங்களுக்கு இடிச்சா இரத்தம் எங்களுக்கு இடிச்சா தக்காளி சட்னி!!																				
Non-anti-LGBT+ content	ஜீவநதி ப்ரியன்  hi																				
Homophobic	இவளயெல்லாம் நாட்டில விட்டு வைப்பதே மிக தவறு   நாய்																				
Non-anti-LGBT+ content	ஆமா அண்ணா சரியா சொன்னீங்க govarnmend வேலை குடுத்தா உலகம் தாங்காது																				
Non-anti-LGBT+ content	Thirumalai Nambirajan Perumal  சுண்ணி நீ சிந்சிக்கிட்டே இரு																				
Homophobic	பண்றது டிச்சிங் டிச்சிங். இதுல நியாய மயிறு வேற போடி ஏலியன் மண்டை.																				
Homophobic	முதல்ல இங்க பேட்டி கொடுக்குற பிராணி ஆனா பெண்ணானு சொல்லுங்கடா?...... Pls... 👍👍👍👍👍இந்த பிராணியை தயவுசெய்து AREA 51 அனுப்புங்கள்.....																				
Homophobic	இவங்க எல்லாம் எதுக்கு உயிரோட இருகாங்க... தூ																				
Homophobic	இந்த மாதிரி நாய்களை சுட்டு கொள்ளவேண்டும்																				
Non-anti-LGBT+ content	நிங்கள் நிடொடி வாழவேண்டும்																				
Non-anti-LGBT+ content	திறமைக்கு மதிப்பு கொடுங்க ... Plss gender pakkathiga ...																				
Non-anti-LGBT+ content	மனிதனுக்கு எல்லாமே வேறுபட்டுள்ளதுனு சொல்றிங்க ஆனால் உணர்வு ஒன்றுதான் .... துக்கம் வந்தா அழுகிறோம் மகிழ்ச்சி வந்தா சிரிக்கிறோம் மற்றும் எல்லோருக்கும் ஆறு சுவையும் ஒன்றுதான் ஆனால் இந்த உணர்வை மட்டும் தனிச்சு காட்டுறிங்க																				
Homophobic	இனி அடுத்தது அனிமெல் செக்ஸ்க்கு  அனுமதி கிடைக்கும்டா 	 ஆம்பளைய சுவைத்து போரடித்தால் நாய் மாடு என பல ஐட்டங்கள் இருக்குது...	 என்சாய் பன்னுங்கடா(டி)																		
Non-anti-LGBT+ content	அவங்களோட அன்பு உண்மையானது தயவுசெஞ்சு .............																				
Non-anti-LGBT+ content	எனக்கு உங்களை ‌எல்லாம் ரொம்ப பிடிக்கும்  உங்கலை நான் ஒரு கடவுள் மாதிரி தான் நினைக்கிறேன்																				
Non-anti-LGBT+ content	இயேசுவே உலகின்ஒளி டேய் உன்ன மாதிரி சுயபுத்தி இல்லாம மத கோட்பாடுனு உளர அறிவீனங்கள் தான் மாட்டு மூத்திரத்தோட மாட்டு சாணியையும் சேத்து சாப்பிடுங்க																				
